Water,,,,1,
Green Tea,,,,,
Jasmine Tea,,,,,
Lemon Tea,,,,,
Milk Tea,,,,,
Ovaltine,,,,,
Pork Noodle,,,,2,
Chicken Noodle,,,,,
Yentafo,,,,,
Roasted Red Pork with Rice,,,,,
Rice Crispy Pork,,,,,
Porridge with fish,,,,,
Porridge with pork,,,,,
Seafood Porridge,,,,,
Fried Rice,,,,,
Steamed Chicken with Rice,,,,,
Rice with Roast Pork,,,,,
Eggs and Pork in Brown Sauce Frogs,,,,,
Grilled Chicken,,,,,
Steamed Duck,,,,,
Pork Stir-fried with Garlic and Peppercorns,,,,,
Spicy papaya salad,,,,,
Minced Pork and Soya Bean Curd Soup,,,,,
Chicken Green Curry,,,,,
Krapao with Rice,,,,,
Stir-fried Soft-shelled Crab in Curry Powder,,,,,
Fried Noodle with Pork and Broccoli,,,,,
Steamed Egg,,,,,
Boiled Egg fried with Tamarind Sauce,,,,,
Stuffed Omelet,,,,,
Boiled Egg,,,,,
Fried Chicken,,,,,
Congee,,,,,
Roast Chicken,,,,,
Spicy Minced Pork,,,,,
